GEOID,NAME,total_household14E,total_household14M,house_alone14E,house_alone14M,med_hh_inc14E,med_hh_inc14M
"24510150900","Census Tract 1509, Baltimore city, Maryland",1054,110,357,103,43669,6312
"24510200400","Census Tract 2004, Baltimore city, Maryland",595,70,239,72,32250,14064
"24510200500","Census Tract 2005, Baltimore city, Maryland",1071,144,282,77,17604,5205
"24005403701","Census Tract 4037.01, Baltimore County, Maryland",3066,179,790,182,79049,5938
"24005404402","Census Tract 4044.02, Baltimore County, Maryland",2186,83,449,118,111250,15130
"24005405000","Census Tract 4050, Baltimore County, Maryland",1653,79,332,101,82227,6524
"24005408302","Census Tract 4083.02, Baltimore County, Maryland",1282,31,348,82,113250,9544
"24005408601","Census Tract 4086.01, Baltimore County, Maryland",1521,51,324,65,83550,6122
"24005491000","Census Tract 4910, Baltimore County, Maryland",766,45,99,42,132000,12079
"24005451000","Census Tract 4510, Baltimore County, Maryland",698,50,141,47,67348,9570
"24005491300","Census Tract 4913, Baltimore County, Maryland",1400,86,536,119,51597,17401
"24005491401","Census Tract 4914.01, Baltimore County, Maryland",2320,108,745,188,43370,8030
"24005491500","Census Tract 4915, Baltimore County, Maryland",1611,103,672,136,46050,9251
"24005492102","Census Tract 4921.02, Baltimore County, Maryland",872,35,208,63,66818,10459
"24005451300","Census Tract 4513, Baltimore County, Maryland",1305,144,420,130,49702,9619
"24005451802","Census Tract 4518.02, Baltimore County, Maryland",1660,107,534,119,55370,6425
"24005452400","Census Tract 4524, Baltimore County, Maryland",1303,93,377,109,53423,11366
"24005490301","Census Tract 4903.01, Baltimore County, Maryland",2730,181,1245,191,55994,5897
"24005490701","Census Tract 4907.01, Baltimore County, Maryland",648,60,246,61,98333,16552
"24005490800","Census Tract 4908, Baltimore County, Maryland",1401,51,435,94,77138,9214
"24005402503","Census Tract 4025.03, Baltimore County, Maryland",1925,89,769,146,54201,17939
"24005403500","Census Tract 4035, Baltimore County, Maryland",1818,67,350,80,80682,8873
"24005408200","Census Tract 4082, Baltimore County, Maryland",754,27,79,30,153913,14155
"24005408400","Census Tract 4084, Baltimore County, Maryland",445,32,257,40,69514,16626
"24005408505","Census Tract 4085.05, Baltimore County, Maryland",1574,69,361,85,91481,8488
